venue,window_start,lrs,mean_correlation
COINBASE,1440,0.9936094910482308,0.9936094910482308
BYBITSPOT,1440,0.9954640606566655,0.9954640606566655
BITGET,1440,0.9950376618490777,0.9950376618490777
BINANCE,1500,0.9901797722479713,0.9901797722479713
COINBASE,1500,0.985991637718351,0.985991637718351
BYBITSPOT,1500,0.9908963460667909,0.9908963460667909
BITGET,1500,0.9904515515224698,0.9904515515224698
BINANCE,1560,0.9934391195097372,0.9934391195097372
COINBASE,1560,0.9900585130706695,0.9900585130706695
BYBITSPOT,1560,0.9938624951771687,0.9938624951771687
BITGET,1560,0.9933250433402195,0.9933250433402195
BINANCE,1620,0.9959791661744554,0.9959791661744554
COINBASE,1620,0.9944961897296788,0.9944961897296788
BYBITSPOT,1620,0.9963348884717776,0.9963348884717776
BITGET,1620,0.9956542225471027,0.9956542225471027
BINANCE,1680,0.9942752889584634,0.9942752889584634
COINBASE,1680,0.9925146937695656,0.9925146937695656
BYBITSPOT,1680,0.9940322936587586,0.9940322936587586
BITGET,1680,0.9936030084340928,0.9936030084340928
BINANCE,1740,0.9947269076177591,0.9947269076177591
COINBASE,1740,0.9933026476875407,0.9933026476875407
BYBITSPOT,1740,0.9949528241579312,0.9949528241579312
BITGET,1740,0.9947068328050386,0.9947068328050386
BINANCE,1800,0.9951537696034345,0.9951537696034345
COINBASE,1800,0.9940213729021892,0.9940213729021892
BYBITSPOT,1800,0.9955940906102714,0.9955940906102714
BITGET,1800,0.99517042577374,0.99517042577374
BINANCE,1860,0.9962094780407118,0.9962094780407118
COINBASE,1860,0.9949891724874661,0.9949891724874661
BYBITSPOT,1860,0.9968185355544157,0.9968185355544157
BITGET,1860,0.99599264261369,0.99599264261369
BINANCE,1920,0.995184707171425,0.995184707171425
COINBASE,1920,0.9924286452997778,0.9924286452997778
BYBITSPOT,1920,0.9952458905274238,0.9952458905274238
BITGET,1920,0.9940383011750341,0.9940383011750341
BINANCE,1980,0.9950180947950713,0.9950180947950713
COINBASE,1980,0.9922264964397165,0.9922264964397165
BYBITSPOT,1980,0.9951311542804905,0.9951311542804905
BITGET,1980,0.9941809256309054,0.9941809256309054
BINANCE,2040,0.9880435250982703,0.9880435250982703
COINBASE,2040,0.98165587975865,0.98165587975865
BYBITSPOT,2040,0.9869603883765897,0.9869603883765897
BITGET,2040,0.9845749890244414,0.9845749890244414
BINANCE,2100,0.9905787264901885,0.9905787264901885
COINBASE,2100,0.9852321435574459,0.9852321435574459
BYBITSPOT,2100,0.989988079597978,0.989988079597978
BITGET,2100,0.9872827751639459,0.9872827751639459
BINANCE,2160,0.9903999283440043,0.9903999283440043
COINBASE,2160,0.9838423324150515,0.9838423324150515
BYBITSPOT,2160,0.9896398865605257,0.9896398865605257
BITGET,2160,0.9870049265165689,0.9870049265165689
BINANCE,2220,0.9828174183282307,0.9828174183282307
COINBASE,2220,0.9699852411136614,0.9699852411136614
BYBITSPOT,2220,0.9821131014967567,0.9821131014967567
BITGET,2220,0.9765864033091513,0.9765864033091513
BINANCE,2280,0.9885888781705555,0.9885888781705555
COINBASE,2280,0.9820190764635971,0.9820190764635971
BYBITSPOT,2280,0.9892156699318796,0.9892156699318796
BITGET,2280,0.9858005541822844,0.9858005541822844
BINANCE,2340,0.9984736566626653,0.9984736566626653
COINBASE,2340,0.9977189820528564,0.9977189820528564
BYBITSPOT,2340,0.9986033756738548,0.9986033756738548
BITGET,2340,0.9985687620241469,0.9985687620241469
BINANCE,2400,0.9994522112403231,0.9994522112403231
COINBASE,2400,0.9992523547092226,0.9992523547092226
BYBITSPOT,2400,0.9994964466784909,0.9994964466784909
BITGET,2400,0.9995146887794535,0.9995146887794535
BINANCE,2460,0.9992273097727798,0.9992273097727798
COINBASE,2460,0.998795727497181,0.998795727497181
BYBITSPOT,2460,0.9991738776787797,0.9991738776787797
BITGET,2460,0.999076491532393,0.999076491532393
BINANCE,2520,0.9953462342589087,0.9953462342589087
COINBASE,2520,0.9929410513323904,0.9929410513323904
BYBITSPOT,2520,0.995041058672285,0.995041058672285
BITGET,2520,0.9941507696065094,0.9941507696065094
BINANCE,2580,0.977419836381426,0.977419836381426
COINBASE,2580,0.9663173684050784,0.9663173684050784
BYBITSPOT,2580,0.9715617695807156,0.9715617695807156
BITGET,2580,0.9678496748191344,0.9678496748191344
BINANCE,2640,0.9978935158136141,0.9978935158136141
COINBASE,2640,0.9968987188337527,0.9968987188337527
BYBITSPOT,2640,0.9974449576183281,0.9974449576183281
BITGET,2640,0.9971467830960087,0.9971467830960087
BINANCE,2700,0.9978398778914568,0.9978398778914568
COINBASE,2700,0.9970850103840861,0.9970850103840861
BYBITSPOT,2700,0.997735203621084,0.997735203621084
BITGET,2700,0.9972945848167555,0.9972945848167555
BINANCE,2760,0.997185201622432,0.997185201622432
COINBASE,2760,0.9964404453508257,0.9964404453508257
BYBITSPOT,2760,0.9972858358715202,0.9972858358715202
BITGET,2760,0.9966894613047418,0.9966894613047418
BINANCE,2820,0.9974885550918522,0.9974885550918522
COINBASE,2820,0.9968134747983465,0.9968134747983465
