edge,tsi,significant_windows,total_windows,n_obs,environment,day,frequency
COINBASE->BYBITSPOT,0.26198083067092653,82,313,5789,Vol_Med,2025-09-01,1S
COINBASE->BITGET,0.32781456953642385,99,302,5831,Vol_Med,2025-09-01,1S
BYBITSPOT->BINANCE,0.3656957928802589,113,309,5582,Vol_Med,2025-09-01,1S
BYBITSPOT->COINBASE,0.23174603174603176,73,315,5785,Vol_Med,2025-09-01,1S
BYBITSPOT->BITGET,0.2901023890784983,85,293,5297,Vol_Med,2025-09-01,1S
BITGET->BINANCE,0.28668941979522183,84,293,5766,Vol_Med,2025-09-01,1S
BITGET->COINBASE,0.24342105263157895,74,304,5816,Vol_Med,2025-09-01,1S
BITGET->BYBITSPOT,0.23875432525951557,69,289,5279,Vol_Med,2025-09-01,1S
BINANCE->COINBASE,0.569811320754717,151,265,5795,Vol_High,2025-09-01,1S
BINANCE->BYBITSPOT,0.3438914027149321,76,221,5012,Vol_High,2025-09-01,1S
BINANCE->BITGET,0.26244343891402716,58,221,4955,Vol_High,2025-09-01,1S
COINBASE->BINANCE,0.2765151515151515,73,264,5795,Vol_High,2025-09-01,1S
COINBASE->BYBITSPOT,0.28294573643410853,73,258,6129,Vol_High,2025-09-01,1S
COINBASE->BITGET,0.26053639846743293,68,261,6200,Vol_High,2025-09-01,1S
BYBITSPOT->BINANCE,0.2311111111111111,52,225,5012,Vol_High,2025-09-01,1S
BYBITSPOT->COINBASE,0.24621212121212122,65,264,6129,Vol_High,2025-09-01,1S
BYBITSPOT->BITGET,0.34156378600823045,83,243,5405,Vol_High,2025-09-01,1S
BITGET->BINANCE,0.2863636363636364,63,220,4955,Vol_High,2025-09-01,1S
BITGET->COINBASE,0.2518796992481203,67,266,6200,Vol_High,2025-09-01,1S
BITGET->BYBITSPOT,0.31275720164609055,76,243,5405,Vol_High,2025-09-01,1S
BINANCE->COINBASE,0.7975567190226877,457,573,10883,Wash_Low,2025-09-01,1S
BINANCE->BYBITSPOT,0.31382978723404253,177,564,10861,Wash_Low,2025-09-01,1S
BINANCE->BITGET,0.27964601769911507,158,565,10726,Wash_Low,2025-09-01,1S
COINBASE->BINANCE,0.4930313588850174,283,574,10897,Wash_Low,2025-09-01,1S
COINBASE->BYBITSPOT,0.30973451327433627,175,565,11411,Wash_Low,2025-09-01,1S
COINBASE->BITGET,0.30973451327433627,175,565,11274,Wash_Low,2025-09-01,1S
BYBITSPOT->BINANCE,0.2700348432055749,155,574,10861,Wash_Low,2025-09-01,1S
BYBITSPOT->COINBASE,0.24390243902439024,140,574,11411,Wash_Low,2025-09-01,1S
BYBITSPOT->BITGET,0.2961672473867596,170,574,10806,Wash_Low,2025-09-01,1S
BITGET->BINANCE,0.28222996515679444,162,574,10726,Wash_Low,2025-09-01,1S
BITGET->COINBASE,0.2578397212543554,148,574,11274,Wash_Low,2025-09-01,1S
BITGET->BYBITSPOT,0.2961672473867596,170,574,10806,Wash_Low,2025-09-01,1S
BINANCE->COINBASE,0.8780918727915195,497,566,6353,Wash_High,2025-09-01,1S
BINANCE->BYBITSPOT,0.7971274685816876,444,557,5835,Wash_High,2025-09-01,1S
BINANCE->BITGET,0.7907801418439716,446,564,5988,Wash_High,2025-09-01,1S
COINBASE->BINANCE,0.9312169312169312,528,567,6368,Wash_High,2025-09-01,1S
COINBASE->BYBITSPOT,0.9293478260869565,513,552,5277,Wash_High,2025-09-01,1S
COINBASE->BITGET,0.9243243243243243,513,555,5433,Wash_High,2025-09-01,1S
BYBITSPOT->BINANCE,0.851063829787234,480,564,5835,Wash_High,2025-09-01,1S
