event_id,date,venue_i,venue_j,n_pre,n_post,pre_minutes,post_minutes,shrunk,reason
42,20250902,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
43,20250902,BYBITSPOT,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
43,20250902,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
43,20250902,BYBITSPOT,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
43,20250902,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
43,20250902,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
43,20250902,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
44,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
44,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
44,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
44,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
44,20250902,BITGET,BYBITSPOT,179,180,15.0,15.0,False,SUFFICIENT
44,20250902,BYBITSPOT,BITGET,179,178,15.0,15.0,False,SUFFICIENT
45,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
45,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
45,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
45,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
45,20250902,BITGET,BYBITSPOT,168,171,15.0,15.0,False,SUFFICIENT
45,20250902,BYBITSPOT,BITGET,158,160,15.0,15.0,False,SUFFICIENT
46,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
46,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
46,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
46,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
46,20250902,BITGET,BYBITSPOT,167,172,15.0,15.0,False,SUFFICIENT
46,20250902,BYBITSPOT,BITGET,153,164,15.0,15.0,False,SUFFICIENT
47,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
47,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
47,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
47,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
47,20250902,BITGET,BYBITSPOT,174,177,15.0,15.0,False,SUFFICIENT
47,20250902,BYBITSPOT,BITGET,166,173,15.0,15.0,False,SUFFICIENT
48,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
48,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
48,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
48,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
48,20250902,BITGET,BYBITSPOT,175,180,15.0,15.0,False,SUFFICIENT
