venue_i,venue_j,date,lag,fake_t0,beta_delta,se_delta,t_stat,p_delta,significant
BYBITSPOT,BINANCE,2025-09-02,1,2025-09-02 12:00:00,-0.022317660346743883,0.015771761731261266,-1.415039152063017,0.1570759152643615,False
BYBITSPOT,BINANCE,2025-09-02,3,2025-09-02 12:00:00,-0.026423916738999517,0.015773033854032413,-1.6752589884440132,0.09390240804219419,False
BYBITSPOT,BINANCE,2025-09-02,6,2025-09-02 12:00:00,-0.02468595969964641,0.015771833253519024,-1.5651927903903282,0.11755692706026855,False
BYBITSPOT,COINBASE,2025-09-02,1,2025-09-02 12:00:00,-0.026619127563781514,0.014746190460804833,-1.8051528382557367,0.07106908012870772,False
BYBITSPOT,COINBASE,2025-09-02,3,2025-09-02 12:00:00,-0.022353185687137456,0.014748764743819025,-1.5155971415508085,0.12964050543969807,False
BYBITSPOT,COINBASE,2025-09-02,6,2025-09-02 12:00:00,-0.01059241194016905,0.014747405393440657,-0.7182559682586834,0.4726097004611045,False
BYBITSPOT,BITGET,2025-09-02,1,2025-09-02 12:00:00,0.018786752647432393,0.01543278052629792,1.2173277923196797,0.22349703351585415,False
BYBITSPOT,BITGET,2025-09-02,3,2025-09-02 12:00:00,-0.024191835890024035,0.015433674751702096,-1.5674708894170553,0.11702395622663642,False
BYBITSPOT,BITGET,2025-09-02,6,2025-09-02 12:00:00,-0.02507669010640704,0.015429272854273694,-1.625267136257892,0.10412487058736919,False
BITGET,BINANCE,2025-09-02,1,2025-09-02 12:00:00,-0.046976363674177186,0.015717033072644958,-2.9888824091067283,0.0028039743375281034,True
BITGET,BINANCE,2025-09-02,3,2025-09-02 12:00:00,0.04653253745955038,0.015723384108261903,2.959447987733106,0.0030861290196741997,True
BITGET,BINANCE,2025-09-02,6,2025-09-02 12:00:00,0.005454546486541466,0.01572487535643928,0.3468737502143601,0.7286904351578669,False
BITGET,COINBASE,2025-09-02,1,2025-09-02 12:00:00,-0.027289670994364655,0.014630884238833521,-1.8652099592129903,0.06216913787579159,False
BITGET,COINBASE,2025-09-02,3,2025-09-02 12:00:00,0.0002868212181717199,0.014634500748814642,0.019598975263638678,0.9843635106058095,False
BITGET,COINBASE,2025-09-02,6,2025-09-02 12:00:00,0.01804117503232286,0.014635417447402089,1.2327065556661194,0.21770226579175334,False
BITGET,BYBITSPOT,2025-09-02,1,2025-09-02 12:00:00,-0.00984245456795331,0.01569656806026057,-0.6270450030966783,0.5306384617303705,False
BITGET,BYBITSPOT,2025-09-02,3,2025-09-02 12:00:00,0.0009153340564841328,0.015701950783292826,0.05829428897828833,0.9535149266519722,False
BITGET,BYBITSPOT,2025-09-02,6,2025-09-02 12:00:00,-0.011499582869358264,0.015700630199285297,-0.732428107878226,0.4639177776586476,False
BINANCE,COINBASE,2025-09-03,1,2025-09-03 12:00:00,-0.10871569971877937,0.01363224085166788,-7.974895756443314,1.5543122344752192e-15,True
BINANCE,COINBASE,2025-09-03,3,2025-09-03 12:00:00,-0.018497796229968,0.01366012935651092,-1.354145026536756,0.17570800562333777,False
BINANCE,COINBASE,2025-09-03,6,2025-09-03 12:00:00,-0.021794657620714374,0.01366242664014246,-1.595225957640503,0.11068020045714677,False
BINANCE,BYBITSPOT,2025-09-03,1,2025-09-03 12:00:00,-0.03441539960650522,0.015038184280136832,-2.288534238269893,0.02211923845067476,True
BINANCE,BYBITSPOT,2025-09-03,3,2025-09-03 12:00:00,0.005796886667706294,0.015044583716688207,0.3853138629070937,0.7000099504434807,False
BINANCE,BYBITSPOT,2025-09-03,6,2025-09-03 12:00:00,-0.009829039671338455,0.015044275803174774,-0.6533408320834058,0.5135458493707445,False
BINANCE,BITGET,2025-09-03,1,2025-09-03 12:00:00,0.011027707216317524,0.01578563852474783,0.6985911402335047,0.4848182531846552,False
BINANCE,BITGET,2025-09-03,3,2025-09-03 12:00:00,-0.08547274482147532,0.015743697127499148,-5.4290135366096495,5.75346150721856e-08,True
BINANCE,BITGET,2025-09-03,6,2025-09-03 12:00:00,-0.06726739573668435,0.0157704579324166,-4.265405356328582,2.007446716145722e-05,True
COINBASE,BINANCE,2025-09-03,1,2025-09-03 12:00:00,-0.09795503572725939,0.017057946575068247,-5.74248695739437,9.487889141013284e-09,True
COINBASE,BINANCE,2025-09-03,3,2025-09-03 12:00:00,-0.0030137423271395826,0.017076845334823156,-0.17648120996879615,0.8599179989752663,False
COINBASE,BINANCE,2025-09-03,6,2025-09-03 12:00:00,0.03046147941161542,0.017073740164868807,1.7841128608887602,0.07442305798245208,False
