ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:04:45.987710,kraken,10,,,0,0
2025-09-28T00:04:45.987710,okx,178,,,0,0
2025-09-28T00:04:45.987710,bybit,59,,,0,0
2025-09-28T00:04:45.988217,binance,38,1759010685017,1759010685124,0,0
2025-09-28T00:04:45.988217,coinbase,111,,,0,0
2025-09-28T00:04:45.988217,kraken,10,,,0,0
2025-09-28T00:04:45.988217,okx,178,,,0,0
2025-09-28T00:04:45.988217,bybit,59,,,0,0
2025-09-28T00:04:45.988578,binance,38,1759010685017,1759010685124,0,0
2025-09-28T00:04:45.988578,coinbase,111,,,0,0
2025-09-28T00:04:45.988578,kraken,10,,,0,0
2025-09-28T00:04:45.988578,okx,178,,,0,0
2025-09-28T00:04:45.988578,bybit,59,,,0,0
2025-09-28T00:04:50.990489,binance,43,1759010690014,1759010690122,0,0
2025-09-28T00:04:50.990489,coinbase,130,,,0,0
2025-09-28T00:04:50.990489,kraken,11,,,0,0
2025-09-28T00:04:50.990489,okx,192,,,0,0
2025-09-28T00:04:50.990489,bybit,66,,,0,0
2025-09-28T00:04:50.991126,binance,43,1759010690014,1759010690122,0,0
2025-09-28T00:04:50.991126,coinbase,130,,,0,0
2025-09-28T00:04:50.991126,kraken,11,,,0,0
2025-09-28T00:04:50.991126,okx,192,,,0,0
2025-09-28T00:04:50.991126,bybit,66,,,0,0
2025-09-28T00:04:50.991328,binance,43,1759010690014,1759010690122,0,0
2025-09-28T00:04:50.991328,coinbase,130,,,0,0
2025-09-28T00:04:50.991328,kraken,11,,,0,0
2025-09-28T00:04:50.991328,okx,192,,,0,0
2025-09-28T00:04:50.991328,bybit,66,,,0,0
2025-09-28T00:04:50.991493,binance,43,1759010690014,1759010690122,0,0
2025-09-28T00:04:50.991493,coinbase,130,,,0,0
2025-09-28T00:04:50.991493,kraken,11,,,0,0
2025-09-28T00:04:50.991493,okx,192,,,0,0
2025-09-28T00:04:50.991493,bybit,66,,,0,0
2025-09-28T00:04:50.991660,binance,43,1759010690014,1759010690122,0,0
2025-09-28T00:04:50.991660,coinbase,130,,,0,0
2025-09-28T00:04:50.991660,kraken,11,,,0,0
2025-09-28T00:04:50.991660,okx,192,,,0,0
2025-09-28T00:04:50.991660,bybit,66,,,0,0
2025-09-28T00:04:55.993549,binance,48,1759010695016,1759010695124,0,0
2025-09-28T00:04:55.993549,coinbase,144,,,0,0
2025-09-28T00:04:55.993549,kraken,12,,,0,0
2025-09-28T00:04:55.993549,okx,221,,,0,0
2025-09-28T00:04:55.993549,bybit,75,,,0,0
2025-09-28T00:04:55.994816,binance,48,1759010695016,1759010695124,0,0
2025-09-28T00:04:55.994816,coinbase,144,,,0,0
2025-09-28T00:04:55.994816,kraken,12,,,0,0
2025-09-28T00:04:55.994816,okx,221,,,0,0
2025-09-28T00:04:55.994816,bybit,75,,,0,0
2025-09-28T00:04:55.995358,binance,48,1759010695016,1759010695124,0,0
2025-09-28T00:04:55.995358,coinbase,144,,,0,0
2025-09-28T00:04:55.995358,kraken,12,,,0,0
2025-09-28T00:04:55.995358,okx,221,,,0,0
2025-09-28T00:04:55.995358,bybit,75,,,0,0
2025-09-28T00:04:55.995854,binance,48,1759010695016,1759010695124,0,0
2025-09-28T00:04:55.995854,coinbase,144,,,0,0
2025-09-28T00:04:55.995854,kraken,12,,,0,0
2025-09-28T00:04:55.995854,okx,221,,,0,0
2025-09-28T00:04:55.995854,bybit,75,,,0,0
2025-09-28T00:04:55.996293,binance,48,1759010695016,1759010695124,0,0
2025-09-28T00:04:55.996293,coinbase,144,,,0,0
2025-09-28T00:04:55.996293,kraken,12,,,0,0
2025-09-28T00:04:55.996293,okx,221,,,0,0
2025-09-28T00:04:55.996293,bybit,75,,,0,0
2025-09-28T00:05:00.998694,binance,53,1759010700014,1759010700139,0,0
2025-09-28T00:05:00.998694,coinbase,155,,,0,0
2025-09-28T00:05:00.998694,kraken,14,,,0,0
2025-09-28T00:05:00.998694,okx,262,,,0,0
2025-09-28T00:05:00.998694,bybit,82,,,0,0
2025-09-28T00:05:00.999581,binance,53,1759010700014,1759010700139,0,0
2025-09-28T00:05:00.999581,coinbase,155,,,0,0
