event_id,date,venue_event,venue_i,venue_j,lag,beta_pre,beta_post,delta_beta,p_delta,n_pre,n_post,insufficient,notes
25,20250902,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,43,73,True,LOW_N
25,20250902,BINANCE,BITGET,BINANCE,0,nan,nan,nan,nan,44,72,True,LOW_N
26,20250902,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,46,55,True,LOW_N
26,20250902,BINANCE,BITGET,BINANCE,0,nan,nan,nan,nan,44,57,True,LOW_N
27,20250902,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,49,51,True,LOW_N
28,20250902,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,49,54,True,LOW_N
31,20250902,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,54,46,True,LOW_N
32,20250902,BITGET,BITGET,BINANCE,0,nan,nan,nan,nan,63,40,True,LOW_N
32,20250902,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,64,39,True,LOW_N
33,20250902,BITGET,BITGET,BINANCE,0,nan,nan,nan,nan,44,72,True,LOW_N
33,20250902,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,43,73,True,LOW_N
33,20250902,BITGET,BITGET,COINBASE,0,nan,nan,nan,nan,43,74,True,LOW_N
33,20250902,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,43,74,True,LOW_N
35,20250902,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,51,49,True,LOW_N
36,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,56,48,True,LOW_N
36,20250902,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,49,54,True,LOW_N
38,20250902,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,55,48,True,LOW_N
39,20250902,BYBITSPOT,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,49,54,True,LOW_N
39,20250902,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,60,49,True,LOW_N
39,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,55,46,True,LOW_N
40,20250902,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,54,46,True,LOW_N
40,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,54,47,True,LOW_N
41,20250902,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,48,61,True,LOW_N
42,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,52,49,True,LOW_N
42,20250902,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,56,49,True,LOW_N
43,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,49,51,True,LOW_N
43,20250902,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,48,57,True,LOW_N
43,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,55,47,True,LOW_N
44,20250902,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,62,44,True,LOW_N
44,20250902,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,57,49,True,LOW_N
46,20250902,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,55,47,True,LOW_N
47,20250902,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,55,46,True,LOW_N
47,20250902,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,60,49,True,LOW_N
47,20250902,COINBASE,BITGET,COINBASE,0,nan,nan,nan,nan,55,46,True,LOW_N
48,20250902,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,54,47,True,LOW_N
48,20250902,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,54,46,True,LOW_N
49,20250902,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,48,61,True,LOW_N
49,20250902,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,43,74,True,LOW_N
49,20250902,COINBASE,BITGET,COINBASE,0,nan,nan,nan,nan,43,74,True,LOW_N
50,20250902,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,56,49,True,LOW_N
51,20250902,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,55,47,True,LOW_N
51,20250902,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,48,57,True,LOW_N
51,20250902,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,51,49,True,LOW_N
53,20250903,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,48,75,True,LOW_N
55,20250903,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,70,47,True,LOW_N
56,20250903,BINANCE,COINBASE,BINANCE,0,nan,nan,nan,nan,54,47,True,LOW_N
57,20250903,BITGET,BITGET,COINBASE,0,nan,nan,nan,nan,49,60,True,LOW_N
57,20250903,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,49,57,True,LOW_N
60,20250903,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,70,47,True,LOW_N
67,20250903,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,47,58,True,LOW_N
68,20250903,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,46,74,True,LOW_N
71,20250903,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,54,47,True,LOW_N
73,20250904,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,41,69,True,LOW_N
74,20250904,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,46,59,True,LOW_N
