venue,date,anchor_price,anchor_type,t0,pre_start,pre_end,post_start,post_end,pre_count,post_count,session,wash_tercile
BYBITSPOT,20250903,112000.0,Round,2025-09-03 14:39:48.066000,2025-09-03 14:24:48.066000,2025-09-03 14:39:48.066000,2025-09-03 14:39:48.066000,2025-09-03 14:54:48.066000,10899,17623,EU,Medium
BYBITSPOT,20250903,112500.0,Round,2025-09-03 14:43:20.346000,2025-09-03 14:28:20.346000,2025-09-03 14:43:20.346000,2025-09-03 14:43:20.346000,2025-09-03 14:58:20.346000,16308,11670,EU,Medium
BITGET,20250903,111000.0,Round,2025-09-03 01:23:59.307000,2025-09-03 01:08:59.307000,2025-09-03 01:23:59.307000,2025-09-03 01:23:59.307000,2025-09-03 01:38:59.307000,2998,3505,Asia,Low
BITGET,20250903,111500.0,Round,2025-09-03 00:11:01.163000,2025-09-02 23:56:01.163000,2025-09-03 00:11:01.163000,2025-09-03 00:11:01.163000,2025-09-03 00:26:01.163000,1259,2684,Asia,Low
BITGET,20250903,111771.43,Prior_HL,2025-09-03 00:26:59.755000,2025-09-03 00:11:59.755000,2025-09-03 00:26:59.755000,2025-09-03 00:26:59.755000,2025-09-03 00:41:59.755000,3024,2438,Asia,Low
BITGET,20250903,112000.0,Round,2025-09-03 14:39:48.044000,2025-09-03 14:24:48.044000,2025-09-03 14:39:48.044000,2025-09-03 14:39:48.044000,2025-09-03 14:54:48.044000,4483,7732,EU,Medium
BITGET,20250903,112500.0,Round,2025-09-03 14:43:16.434000,2025-09-03 14:28:16.434000,2025-09-03 14:43:16.434000,2025-09-03 14:43:16.434000,2025-09-03 14:58:16.434000,6672,5067,EU,Medium
BINANCE,20250904,109500.0,Round,2025-09-04 15:11:34.172000,2025-09-04 14:56:34.172000,2025-09-04 15:11:34.172000,2025-09-04 15:11:34.172000,2025-09-04 15:26:34.172000,19890,26065,EU,Medium
BINANCE,20250904,110000.0,Round,2025-09-04 14:05:31.414000,2025-09-04 13:50:31.414000,2025-09-04 14:05:31.414000,2025-09-04 14:05:31.414000,2025-09-04 14:20:31.414000,23258,35610,EU,Medium
BINANCE,20250904,110500.0,Round,2025-09-04 06:21:31.583000,2025-09-04 06:06:31.583000,2025-09-04 06:21:31.583000,2025-09-04 06:21:31.583000,2025-09-04 06:36:31.583000,8566,11494,Asia,Low
BINANCE,20250904,110528.71,Prior_HL,2025-09-04 06:21:15.038000,2025-09-04 06:06:15.038000,2025-09-04 06:21:15.038000,2025-09-04 06:21:15.038000,2025-09-04 06:36:15.038000,8053,12038,Asia,Low
BINANCE,20250904,111000.0,Round,2025-09-04 04:58:11.520000,2025-09-04 04:43:11.520000,2025-09-04 04:58:11.520000,2025-09-04 04:58:11.520000,2025-09-04 05:13:11.520000,6068,20361,Asia,Low
BINANCE,20250904,111500.0,Round,2025-09-04 02:26:54.463000,2025-09-04 02:11:54.463000,2025-09-04 02:26:54.463000,2025-09-04 02:26:54.463000,2025-09-04 02:41:54.463000,9554,10116,Asia,Low
BINANCE,20250904,112000.0,Round,2025-09-04 00:22:14.208000,2025-09-04 00:07:14.208000,2025-09-04 00:22:14.208000,2025-09-04 00:22:14.208000,2025-09-04 00:37:14.208000,7049,8663,Asia,Low
COINBASE,20250904,109500.0,Round,2025-09-04 15:11:34.234773,2025-09-04 14:56:34.234773,2025-09-04 15:11:34.234773,2025-09-04 15:11:34.234773,2025-09-04 15:26:34.234773,6751,8591,EU,Medium
COINBASE,20250904,110000.0,Round,2025-09-04 14:05:32.100019,2025-09-04 13:50:32.100019,2025-09-04 14:05:32.100019,2025-09-04 14:05:32.100019,2025-09-04 14:20:32.100019,8706,11340,EU,Medium
COINBASE,20250904,110500.0,Round,2025-09-04 06:21:34.106257,2025-09-04 06:06:34.106257,2025-09-04 06:21:34.106257,2025-09-04 06:21:34.106257,2025-09-04 06:36:34.106257,3553,3680,Asia,Low
COINBASE,20250904,110533.77,Prior_HL,2025-09-04 06:21:31.643822,2025-09-04 06:06:31.643822,2025-09-04 06:21:31.643822,2025-09-04 06:21:31.643822,2025-09-04 06:36:31.643822,3459,3762,Asia,Low
COINBASE,20250904,111000.0,Round,2025-09-04 04:58:12.340230,2025-09-04 04:43:12.340230,2025-09-04 04:58:12.340230,2025-09-04 04:58:12.340230,2025-09-04 05:13:12.340230,3171,5616,Asia,Low
COINBASE,20250904,111500.0,Round,2025-09-04 02:29:37.603107,2025-09-04 02:14:37.603107,2025-09-04 02:29:37.603107,2025-09-04 02:29:37.603107,2025-09-04 02:44:37.603107,4618,4114,Asia,Low
COINBASE,20250904,112000.0,Round,2025-09-04 00:20:30.622223,2025-09-04 00:05:30.622223,2025-09-04 00:20:30.622223,2025-09-04 00:20:30.622223,2025-09-04 00:35:30.622223,5087,3936,Asia,Low
BYBITSPOT,20250904,109500.0,Round,2025-09-04 15:11:34.196000,2025-09-04 14:56:34.196000,2025-09-04 15:11:34.196000,2025-09-04 15:11:34.196000,2025-09-04 15:26:34.196000,7132,9412,EU,Medium
BYBITSPOT,20250904,110000.0,Round,2025-09-04 14:05:31.143000,2025-09-04 13:50:31.143000,2025-09-04 14:05:31.143000,2025-09-04 14:05:31.143000,2025-09-04 14:20:31.143000,10481,14776,EU,Medium
BYBITSPOT,20250904,110500.0,Round,2025-09-04 06:21:24.216000,2025-09-04 06:06:24.216000,2025-09-04 06:21:24.216000,2025-09-04 06:21:24.216000,2025-09-04 06:36:24.216000,3243,4833,Asia,Low
BYBITSPOT,20250904,110540.7,Prior_HL,2025-09-04 06:21:13.628000,2025-09-04 06:06:13.628000,2025-09-04 06:21:13.628000,2025-09-04 06:21:13.628000,2025-09-04 06:36:13.628000,3109,4967,Asia,Low
BYBITSPOT,20250904,111000.0,Round,2025-09-04 04:58:11.474000,2025-09-04 04:43:11.474000,2025-09-04 04:58:11.474000,2025-09-04 04:58:11.474000,2025-09-04 05:13:11.474000,2196,7248,Asia,Low
BYBITSPOT,20250904,111500.0,Round,2025-09-04 02:26:54.356000,2025-09-04 02:11:54.356000,2025-09-04 02:26:54.356000,2025-09-04 02:26:54.356000,2025-09-04 02:41:54.356000,3688,5062,Asia,Low
BYBITSPOT,20250904,112000.0,Round,2025-09-04 00:22:14.234000,2025-09-04 00:07:14.234000,2025-09-04 00:22:14.234000,2025-09-04 00:22:14.234000,2025-09-04 00:37:14.234000,2296,2893,Asia,Low
BITGET,20250904,109500.0,Round,2025-09-04 15:11:34.185000,2025-09-04 14:56:34.185000,2025-09-04 15:11:34.185000,2025-09-04 15:11:34.185000,2025-09-04 15:26:34.185000,6114,6232,EU,Medium
BITGET,20250904,110000.0,Round,2025-09-04 14:05:31.243000,2025-09-04 13:50:31.243000,2025-09-04 14:05:31.243000,2025-09-04 14:05:31.243000,2025-09-04 14:20:31.243000,6056,9702,EU,Medium
BITGET,20250904,110500.0,Round,2025-09-04 06:21:31.659000,2025-09-04 06:06:31.659000,2025-09-04 06:21:31.659000,2025-09-04 06:21:31.659000,2025-09-04 06:36:31.659000,1941,3747,Asia,Low
BITGET,20250904,110519.26,Prior_HL,2025-09-04 06:21:18.092000,2025-09-04 06:06:18.092000,2025-09-04 06:21:18.092000,2025-09-04 06:21:18.092000,2025-09-04 06:36:18.092000,1793,3904,Asia,Low
BITGET,20250904,111000.0,Round,2025-09-04 04:58:11.486000,2025-09-04 04:43:11.486000,2025-09-04 04:58:11.486000,2025-09-04 04:58:11.486000,2025-09-04 05:13:11.486000,1570,4281,Asia,Low
BITGET,20250904,111500.0,Round,2025-09-04 02:26:52.033000,2025-09-04 02:11:52.033000,2025-09-04 02:26:52.033000,2025-09-04 02:26:52.033000,2025-09-04 02:41:52.033000,2602,2454,Asia,Low
BITGET,20250904,112000.0,Round,2025-09-04 00:22:14.213000,2025-09-04 00:07:14.213000,2025-09-04 00:22:14.213000,2025-09-04 00:22:14.213000,2025-09-04 00:37:14.213000,1245,1209,Asia,Low
BINANCE,20250905,110500.0,Round,2025-09-05 00:55:24.036000,2025-09-05 00:40:24.036000,2025-09-05 00:55:24.036000,2025-09-05 00:55:24.036000,2025-09-05 01:10:24.036000,8379,9666,Asia,Low
BINANCE,20250905,111000.0,Round,2025-09-05 01:43:27.255000,2025-09-05 01:28:27.255000,2025-09-05 01:43:27.255000,2025-09-05 01:43:27.255000,2025-09-05 01:58:27.255000,6973,7486,Asia,Low
BINANCE,20250905,111500.0,Round,2025-09-05 05:06:47.043000,2025-09-05 04:51:47.043000,2025-09-05 05:06:47.043000,2025-09-05 05:06:47.043000,2025-09-05 05:21:47.043000,7231,5688,Asia,Low
BINANCE,20250905,112000.0,Round,2025-09-05 07:01:18.035000,2025-09-05 06:46:18.035000,2025-09-05 07:01:18.035000,2025-09-05 07:01:18.035000,2025-09-05 07:16:18.035000,13240,36856,Asia,Low
BINANCE,20250905,112180.0,Prior_HL,2025-09-05 07:01:53.706000,2025-09-05 06:46:53.706000,2025-09-05 07:01:53.706000,2025-09-05 07:01:53.706000,2025-09-05 07:16:53.706000,18014,32860,Asia,Low
BINANCE,20250905,112500.0,Round,2025-09-05 07:12:00.574000,2025-09-05 06:57:00.574000,2025-09-05 07:12:00.574000,2025-09-05 07:12:00.574000,2025-09-05 07:27:00.574000,32691,37956,Asia,Low
