event_id,date,venue_event,venue_i,venue_j,delta_disp,delta_entropy,session,wash_tercile,n_pre,n_post
20,20250902,BINANCE,BYBITSPOT,BINANCE,1.0395572572942289e-08,-3.209281908023165e-05,NewYork,low,179,178
20,20250902,BINANCE,BINANCE,BITGET,5.564511495113585e-08,0.0,NewYork,low,180,180
20,20250902,BINANCE,BITGET,BINANCE,6.52663572771923e-08,0.0,NewYork,low,180,180
21,20250902,BINANCE,BINANCE,COINBASE,2.1206566650698131e-10,0.0,Tokyo,low,180,180
21,20250902,BINANCE,COINBASE,BINANCE,2.1206566650698131e-10,0.0,Tokyo,low,180,180
21,20250902,BINANCE,BINANCE,BYBITSPOT,-9.232135878177223e-09,3.8505708352731816e-05,Tokyo,low,168,171
21,20250902,BINANCE,BYBITSPOT,BINANCE,-8.445643635157876e-09,0.00012043223531610359,Tokyo,low,158,160
21,20250902,BINANCE,BINANCE,BITGET,6.173288327984223e-11,0.0,Tokyo,low,180,180
21,20250902,BINANCE,BITGET,BINANCE,6.173288327984223e-11,0.0,Tokyo,low,180,180
22,20250902,BINANCE,BINANCE,COINBASE,-2.1538722992602388e-10,0.0,Tokyo,low,180,180
22,20250902,BINANCE,COINBASE,BINANCE,-2.1538722992602388e-10,0.0,Tokyo,low,180,180
22,20250902,BINANCE,BINANCE,BYBITSPOT,1.7697471848515246e-09,6.145438297799899e-06,Tokyo,low,167,172
22,20250902,BINANCE,BYBITSPOT,BINANCE,1.2073128425355633e-08,5.3621483514953994e-05,Tokyo,low,153,164
22,20250902,BINANCE,BINANCE,BITGET,1.4635038002619486e-08,0.0,Tokyo,low,180,180
22,20250902,BINANCE,BITGET,BINANCE,2.166091180859265e-08,0.0,Tokyo,low,180,180
23,20250902,BINANCE,BINANCE,COINBASE,1.981991229605894e-09,0.0,Tokyo,low,180,180
23,20250902,BINANCE,COINBASE,BINANCE,1.981991229605894e-09,0.0,Tokyo,low,180,180
23,20250902,BINANCE,BINANCE,BYBITSPOT,1.2200956549029283e-08,-2.9137766812015187e-05,Tokyo,low,174,177
23,20250902,BINANCE,BYBITSPOT,BINANCE,3.852314686681864e-08,-2.8286420464374018e-05,Tokyo,low,166,173
23,20250902,BINANCE,BINANCE,BITGET,6.745600305487761e-08,0.0,Tokyo,low,180,180
23,20250902,BINANCE,BITGET,BINANCE,7.168583625374002e-08,0.0,Tokyo,low,180,180
24,20250902,BINANCE,BINANCE,COINBASE,1.6906331034164447e-09,0.0,Tokyo,high,180,180
24,20250902,BINANCE,COINBASE,BINANCE,1.6906331034164447e-09,0.0,Tokyo,high,180,180
24,20250902,BINANCE,BINANCE,BYBITSPOT,7.3948433154646965e-09,0.0,Tokyo,low,175,180
24,20250902,BINANCE,BYBITSPOT,BINANCE,4.720668012168805e-08,1.1777921008038206e-05,Tokyo,low,167,177
24,20250902,BINANCE,BINANCE,BITGET,5.081924426040513e-08,0.0,Tokyo,low,180,180
24,20250902,BINANCE,BITGET,BINANCE,5.346653997798008e-08,0.0,Tokyo,low,180,180
25,20250902,BINANCE,BINANCE,COINBASE,-1.48201200830224e-09,0.0,Tokyo,low,180,180
